train_id,train_name,route_name,station_destination_name,departure_time_utc7,color,destination_time_utc7,station_departure_name,station_departure_id,station_destination_id
1318B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,16:30:00,#E30A16,17:46:00,SAWAH BESAR,SW,BOO
1515B,COMMUTER LINE BOGOR,NAMBO-JAKARTAKOTA,JAKARTAKOTA,16:31:00,#E30A16,16:42:00,SAWAH BESAR,SW,JAKK
1327B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,16:33:00,#E30A16,16:46:00,SAWAH BESAR,SW,JAKK
1320B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,16:38:00,#E30A16,17:55:00,SAWAH BESAR,SW,BOO
1329B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,16:40:00,#E30A16,16:51:00,SAWAH BESAR,SW,JAKK
1322B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,16:42:00,#E30A16,17:59:00,SAWAH BESAR,SW,BOO
1324B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,16:46:00,#E30A16,18:04:00,SAWAH BESAR,SW,BOO
1331C,COMMUTER LINE BOGOR,DEPOK-JAKARTAKOTA,JAKARTAKOTA,16:48:00,#E30A16,17:00:00,SAWAH BESAR,SW,JAKK
1333C,COMMUTER LINE BOGOR,DEPOK-JAKARTAKOTA,JAKARTAKOTA,16:54:00,#E30A16,17:05:00,SAWAH BESAR,SW,JAKK
1326B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,16:56:00,#E30A16,18:15:00,SAWAH BESAR,SW,BOO
1335B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,16:58:00,#E30A16,17:09:00,SAWAH BESAR,SW,JAKK
1328B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,17:00:00,#E30A16,18:19:00,SAWAH BESAR,SW,BOO
1330B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,17:04:00,#E30A16,18:23:00,SAWAH BESAR,SW,BOO
1339B,COMMUTER LINE BOGOR,BOGOR-JAKARTAKOTA,JAKARTAKOTA,17:07:00,#E30A16,17:18:00,SAWAH BESAR,SW,JAKK
1518B,COMMUTER LINE BOGOR,JAKARTAKOTA-NAMBO,NAMBO,17:10:00,#E30A16,18:30:00,SAWAH BESAR,SW,NMO
1332B,COMMUTER LINE BOGOR,JAKARTAKOTA-BOGOR,BOGOR,17:18:00,#E30A16,18:34:00,SAWAH BESAR,SW,BOO
